experiment_id,dataset,split,category,image_id,resolution,payload_bpp,secret_id,secret_bits,model,model_name,status,exact_recovery,psnr,mse,ssim,ms_ssim,ber,secret_accuracy,lsb_change_percent,pixel_change_percent,channel_change_percent,residual_rms,residual_max,encode_ms,decode_ms,total_ms,error,payload_bits,metric_valid,metric_note
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0055,256,0.013428,fixed_v1,240,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,True,74.8759,0.0021158854166666665,0.999999,0.999999,0.0,100.0,0.2116,0.6348,0.2116,0.045999,1.0,20.171282999854157,41.06099599994195,61.25309200024276,,880,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0055,256,0.019531,fixed_v1,240,ares_hybrid_inn,ARES-Hybrid-INN,ok,True,75.2919,0.001922607421875,0.999999,0.999999,0.0,100.0,0.1923,0.5768,0.1923,0.043848,1.0,393.9313910000237,203.17644799979462,600.2886150004088,,1280,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0056,256,0.013306,fixed_v1,240,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,True,74.5735,0.0022684733072916665,0.999999,0.999999,0.0,100.0,0.2268,0.6805,0.2268,0.047628,1.0,27.035269999942102,42.437847000201145,69.4989019998502,,872,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0056,256,0.018433,fixed_v1,240,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,True,73.1781,0.0031280517578125,0.999999,0.999998,0.0,100.0,0.3128,0.9384,0.3128,0.055929,1.0,27.93826699962665,41.9598120001865,69.92146899983709,,1208,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0056,256,0.013672,fixed_v1,240,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,True,74.4016,0.0023600260416666665,0.999999,0.999999,0.0,100.0,0.236,0.708,0.236,0.04858,1.0,27.385331000004953,41.4491800001997,68.85787100009111,,896,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0056,256,0.013428,fixed_v1,240,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,True,74.5251,0.0022939046223958335,0.999999,0.999999,0.0,100.0,0.2294,0.6882,0.2294,0.047895,1.0,27.581902000292757,42.3657500000445,69.97029600006499,,880,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0056,256,0.019531,fixed_v1,240,ares_hybrid_inn,ARES-Hybrid-INN,ok,True,75.5038,0.0018310546875,0.999999,0.999999,0.0,100.0,0.1831,0.5493,0.1831,0.042791,1.0,721.1409829997137,131.70525900022767,858.1055869999545,,1280,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0057,256,0.013306,fixed_v1,240,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,True,74.6919,0.0022074381510416665,0.999999,0.999998,0.0,100.0,0.2207,0.6622,0.2207,0.046983,1.0,27.237070000410313,37.93220500028838,65.19475499999317,,872,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0057,256,0.018433,fixed_v1,240,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,True,73.2349,0.0030873616536458335,0.999998,0.999997,0.0,100.0,0.3087,0.9262,0.3087,0.055564,1.0,24.371357000291027,40.52045000025828,64.91340299999138,,1208,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0057,256,0.013672,fixed_v1,240,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,True,74.6028,0.0022532145182291665,0.999999,0.999998,0.0,100.0,0.2253,0.676,0.2253,0.047468,1.0,26.92489699984435,42.35660499989535,69.30735500009177,,896,True,ok
